17	11	16	16	74	1
0	1	2	3	4	5	6	7	8	9	10	3	11	12	13	14	1
15	16	17	4	5	18	19	4	15	20	21	4	4	22	23	9	1
24	25	26	27	28	29	30	27	31	7	4	32	33	12	13	14	1
34	35	36	37	4	4	4	37	4	4	37	37	4	22	23	9	1
24	25	38	32	39	27	19	5	40	29	32	29	11	12	13	14	1
34	35	36	37	4	37	5	18	19	4	4	4	4	22	23	9	1
0	41	42	43	32	29	32	44	30	27	28	44	11	12	13	14	1
15	45	46	47	48	4	49	50	48	37	49	50	48	22	23	9	1
0	51	52	53	54	55	56	57	58	55	59	60	54	55	61	14	1
15	62	63	64	65	64	65	64	65	64	66	64	65	64	67	9	1
0	1	68	69	70	71	72	25	73	71	35	69	70	71	72	25	1
